Waktu,WIKA,BISI,BSDE,NIKL
January 2010,292,1540,780,255
February 2010,310,1380,566,235
March 2010,324,1480,566,295
April 2010,394,1810,780,340
May 2010,329,1280,640,270
June 2010,398,1340,668,295
July 2010,500,1470,752,315
August 2010,546,1700,761,310
September 2010,620,2250,891,380
October 2010,667,2350,780,430
November 2010,583,1990,990,410
December 2010,630,1870,900,430
January 2011,565,1380,720,385
February 2011,611,1230,670,370
March 2011,620,1730,840,395
April 2011,620,1670,920,395
May 2011,639,1560,910,390
June 2011,611,1300,900,370
July 2011,630,1450,1020,380
August 2011,537,1240,1040,330
September 2011,454,1000,870,255
October 2011,482,1020,920,270
November 2011,435,860,850,250
December 2011,565,910,980,260
January 2012,658,910,1050,280
February 2012,676,920,1150,275
March 2012,843,860,1290,270
April 2012,908,840,1430,270
May 2012,852,780,1200,220
June 2012,972,790,1180,205
July 2012,926,1180,1150,215
August 2012,972,1080,1000,210
September 2012,1121,1090,1130,210
October 2012,1269,1070,1240,230
November 2012,1509,880,1210,220
December 2012,1380,800,1100,220
January 2013,1528,800,1400,230
February 2013,1639,810,1600,220
March 2013,1875,860,1750,225
April 2013,2223,740,1730,215
May 2013,2616,820,2200,205
June 2013,1898,680,1800,186
July 2013,1922,620,1580,187
August 2013,1611,600,1310,174
September 2013,1778,610,1440,176
October 2013,1778,610,1570,189
November 2013,1528,560,1350,164
December 2013,1463,560,1290,164
January 2014,1806,530,1440,162
February 2014,1986,650,1535,165
March 2014,2213,660,1635,174
April 2014,2098,615,1560,173
May 2014,2172,545,1610,167
June 2014,2051,520,1485,160
July 2014,2454,520,1585,145
August 2014,2658,535,1605,154
September 2014,2412,494,1545,146
October 2014,2649,490,1605,139
November 2014,2783,525,1770,133
December 2014,3408,790,1805,134
January 2015,3468,1050,2020,129
February 2015,3389,1075,2220,129
March 2015,3237,1310,2135,117
April 2015,2764,1400,1865,92
May 2015,2908,1690,1905,98
June 2015,2320,1600,1670,87
July 2015,2459,1380,1790,76
August 2015,2561,1015,1605,61
September 2015,2399,1100,1405,60
October 2015,2723,1200,1620,55
November 2015,2607,1325,1685,51
December 2015,2445,1350,1800,50
January 2016,2593,1270,1730,50
February 2016,2412,1445,1685,52
March 2016,2417,1765,1835,81
April 2016,2454,1665,1850,236
May 2016,2223,1750,1830,240
June 2016,2741,1750,2110,412
July 2016,2760,1760,2090,494
August 2016,3000,1760,2150,725
September 2016,2593,1800,2200,710
October 2016,2380,2000,2170,575
November 2016,2430,1825,1700,1675
December 2016,2360,1900,1755,2250
January 2017,2570,1805,1830,4130
February 2017,2500,1710,1830,1810
March 2017,2410,1880,1885,2690
April 2017,2370,1860,1790,3900
May 2017,2290,1665,1810,5125
June 2017,2210,1620,1830,4830
July 2017,2080,1530,1790,4090
August 2017,1985,1460,1835,3440
September 2017,1790,1515,1770,3570
October 2017,1970,1640,1720,3000
November 2017,1805,1650,1650,2700
December 2017,1550,1795,1700,4950
January 2018,2080,1755,1820,4060
February 2018,1925,1780,1935,3610
March 2018,1680,1975,1780,4800
April 2018,1585,1910,1690,4800
May 2018,1670,1875,1705,4800
June 2018,1325,1725,1565,4800
July 2018,1550,1740,1350,4150
August 2018,1550,1420,1200,2640
September 2018,1365,1700,1155,4900
October 2018,1100,1450,1100,3600
November 2018,1505,1570,1350,3400
December 2018,1655,1675,1255,3600
January 2019,1895,1435,1330,3160
February 2019,1785,1390,1355,2990
March 2019,2150,1455,1420,3000
April 2019,2420,1500,1435,2470
May 2019,2270,1470,1350,1760
June 2019,2430,1475,1535,1350
July 2019,2340,1420,1420,1330
August 2019,2210,1390,1350,1275
September 2019,1925,1440,1390,1040
October 2019,1980,1330,1415,995
November 2019,1735,1080,1250,525
December 2019,1990,1050,1255,675
January 2020,1890,1000,1115,590
February 2020,1875,940,1000,326
March 2020,835,620,670,408
April 2020,950,910,705,402
May 2020,1085,890,635,406
June 2020,1200,825,740,480
July 2020,1190,840,690,865
August 2020,1240,905,775,840
September 2020,1095,950,740,680
October 2020,1205,900,890,765
November 2020,1620,1020,1050,990
December 2020,1985,1030,1225,1445
