Waktu;WIKA;BISI;BSDE;NIKL
January 2010;-0.0308;0.1407;-0.0455;0.0000
February 2010;0.0635;-0.1039;-0.2738;-0.0784
March 2010;0.0448;0.0725;0.0000;0.2553
April 2010;0.2143;0.2230;0.3770;0.1525
May 2010;-0.1647;-0.2928;-0.1786;-0.2059
June 2010;0.2113;0.0469;0.0435;0.0926
July 2010;0.2558;0.0970;0.1250;0.0678
August 2010;0.0926;0.1565;0.0123;-0.0159
September 2010;0.1356;0.3235;0.1707;0.2258
October 2010;0.0746;0.0444;-0.1250;0.1316
November 2010;-0.1250;-0.1532;0.2697;-0.0465
December 2010;0.0794;-0.0603;-0.0909;0.0488
January 2011;-0.1029;-0.2620;-0.2000;-0.1047
February 2011;0.0820;-0.1087;-0.0694;-0.0390
March 2011;0.0152;0.4065;0.2537;0.0676
April 2011;0.0000;-0.0347;0.0952;0.0000
May 2011;0.0299;-0.0659;-0.0109;-0.0127
June 2011;-0.0435;-0.1667;-0.0110;-0.0513
July 2011;0.0303;0.1154;0.1333;0.0270
August 2011;-0.1471;-0.1448;0.0196;-0.1316
September 2011;-0.1552;-0.1935;-0.1635;-0.2273
October 2011;0.0612;0.0200;0.0575;0.0588
November 2011;-0.0962;-0.1569;-0.0761;-0.0741
December 2011;0.2979;0.0581;0.1529;0.0400
January 2012;0.1639;0.0000;0.0714;0.0769
February 2012;0.0282;0.0110;0.0952;-0.0179
March 2012;0.2466;-0.0652;0.1217;-0.0182
April 2012;0.0769;-0.0233;0.1085;0.0000
May 2012;-0.0612;-0.0714;-0.1608;-0.1852
June 2012;0.1413;0.0128;-0.0167;-0.0682
July 2012;-0.0476;0.4937;-0.0254;0.0488
August 2012;0.0500;-0.0847;-0.1304;-0.0233
September 2012;0.1524;0.0093;0.1300;0.0000
October 2012;0.1322;-0.0183;0.0973;0.0952
November 2012;0.1898;-0.1776;-0.0242;-0.0435
December 2012;-0.0859;-0.0909;-0.0909;0.0000
January 2013;0.1074;0.0000;0.2727;0.0455
February 2013;0.0727;0.0125;0.1429;-0.0435
March 2013;0.1441;0.0617;0.0938;0.0227
April 2013;0.1852;-0.1395;-0.0114;-0.0444
May 2013;0.1771;0.1081;0.2717;-0.0465
June 2013;-0.2743;-0.1707;-0.1818;-0.0927
July 2013;0.0122;-0.0882;-0.1222;0.0054
August 2013;-0.1614;-0.0323;-0.1709;-0.0695
September 2013;0.1034;0.0167;0.0992;0.0115
October 2013;0.0000;0.0000;0.0903;0.0739
November 2013;-0.1406;-0.0820;-0.1401;-0.1323
December 2013;-0.0424;0.0000;-0.0444;0.0000
January 2014;0.2342;-0.0536;0.1163;-0.0122
February 2014;0.1000;0.2264;0.0660;0.0185
March 2014;0.1142;0.0154;0.0651;0.0545
April 2014;-0.0523;-0.0682;-0.0459;-0.0057
May 2014;0.0353;-0.1138;0.0321;-0.0347
June 2014;-0.0554;-0.0459;-0.0776;-0.0419
July 2014;0.1964;0.0000;0.0673;-0.0938
August 2014;0.0830;0.0288;0.0126;0.0621
September 2014;-0.0923;-0.0766;-0.0374;-0.0519
October 2014;0.0979;-0.0081;0.0388;-0.0479
November 2014;0.0507;0.0714;0.1028;-0.0432
December 2014;0.2246;0.5048;0.0198;0.0075
January 2015;0.0177;0.3291;0.1191;-0.0373
February 2015;-0.0227;0.0238;0.0990;0.0000
March 2015;-0.0451;0.2186;-0.0383;-0.0930
April 2015;-0.1459;0.0687;-0.1265;-0.2137
